시설명,담당구,위도,경도,시설분류
신당동 우체국,중구,37.5679725,126.9799824,공공기관
동대문문화회관,동대문구,37.5753938,127.0548231,공공기관
용산구청,용산구,37.5324201,126.9903488,공공기관
서대문구청,서대문구,37.5792607,126.9364946,공공기관
경찰청사,서대문구,37.581817,126.9508662,공공기관
양천우체국,양천구,37.5325686,126.8759272,공공기관
잠실2동우체국,송파구,37.5213517,127.1026097,공공기관
방화2동주민센터,강서구,37.5666818,126.8067274,공공기관
자양동우체국,광진구,37.5314673,127.0805397,공공기관
가락1동주민센터,송파구,37.49336,127.1196835,공공기관
수궁동주민센터,구로구,37.4938646,126.8314537,공공기관
답십리1동주민센터,동대문구,37.5771492,127.0643595,공공기관
응암3동주민센터,은평구,37.5921977,126.9156986,공공기관
면목1치안센터,중랑구,37.5866377,127.0886015,공공기관
서교동주민센터,마포구,37.5697271,126.9029931,공공기관
둔촌1동 주민센터,강동구,37.5234029,127.1366454,공공기관
송파2동주민센터,송파구,37.4886476,127.127438,공공기관
신길4동주민센터,영등포구,37.5084121,126.9112654,공공기관
국민대경상관,성북구,37.6108694,126.9972889,공공기관
대조동 주민센터,은평구,37.6141357,126.9207931,공공기관
방배2동주민센터,서초구,37.4797759,126.9856508,공공기관
서울금천우체국,금천구,37.4699278,126.8985328,공공기관
강서구청,강서구,37.5508377,126.8498115,공공기관
종로구청,종로구,37.5728109,126.9791251,공공기관
중곡제3동주민센터,광진구,37.5688813,127.0802894,공공기관
광진구청제1별관,광진구,37.5383742,127.0822077,공공기관
국민건강보험공단 강남동부지사,강남구,37.4977735,127.028536,공공기관
용산문화체육센터(원효로1동주민센터 별도),용산구,37.5372099,126.9676133,공공기관
방배우체국,서초구,37.494347,126.9897827,공공기관
방배본동주민센터,서초구,37.4950038,126.9878268,공공기관
응봉동주민센터,성동구,37.5530997,127.0333888,공공기관
송파경찰서,송파구,37.5016941,127.1272481,공공기관
국민건강보험공단서대문지사,서대문구,37.5861499,126.9464328,공공기관
국민건강보험강북지사,강북구,37.624453,127.0284871,공공기관
구로구청,구로구,37.4954708,126.8876994,공공기관
창5동주민센터,도봉구,37.6562098,127.0434809,공공기관
당산1동주민센터,영등포구,37.5247827,126.8974691,공공기관
성북세무서,성북구,37.5855458,127.0108796,공공기관
도림동주민센터,영등포구,37.5094204,126.8956063,공공기관
방배경찰서,서초구,37.4814747,126.9830646,공공기관
구로4동 우체국,구로구,37.4902856,126.8843839,공공기관
번3동우체국,강북구,37.6255925,127.046224,공공기관
신내동우체국,중랑구,37.6170135,127.090468,공공기관
오류2동 주민센터,구로구,37.4887627,126.8394745,공공기관
청운효자동주민센터,종로구,37.5841157,126.9705731,공공기관
오륜동주민센터,송파구,37.5154451,127.1343502,공공기관
삼양동우체국,강북구,37.623833,127.0183507,공공기관
서울중곡동우체국,광진구,37.5614928,127.0832009,공공기관
화곡6동주민센터,강서구,37.5517511,126.8500612,공공기관
상도4동주민센터,동작구,37.5005603,126.9377645,공공기관
신정3동주민센터,양천구,37.515107,126.8547785,공공기관
신대방1동주민센터,동작구,37.488904,126.9100278,공공기관
답십리2동주민센터,동대문구,37.5674902,127.0603032,공공기관
공릉치안센터,노원구,37.6266702,127.0789004,공공기관
가락2동주민센터,송파구,37.4885861,127.1153362,공공기관
부암동주민센터,종로구,37.592465,126.9641238,공공기관
길동 주민센터,강동구,37.5376779,127.1454566,공공기관
성산2동주민센터,마포구,37.5685712,126.9089833,공공기관
동소문우체국,성북구,37.5896138,127.0073821,공공기관
한남동우체국,용산구,37.5335857,127.0035688,공공기관
불암파출소,노원구,37.6523968,127.0773248,공공기관
서강지구대,마포구,37.5472944,126.9292763,공공기관
사당동지구대,동작구,37.4805401,126.9794943,공공기관
반포1동주민센터,서초구,37.5050553,127.0133662,공공기관
남영동우체국,용산구,37.5449381,126.9727745,공공기관
신길6동주민센터,영등포구,37.4993327,126.9098355,공공기관
화곡우체국,강서구,37.5469135,126.8479632,공공기관
오금동주민센터,송파구,37.5034588,127.1278487,공공기관
불광1동주민센터,은평구,37.6103126,126.9320759,공공기관
홍제3동주민센터,서대문구,37.5937421,126.9496787,공공기관
목2동주민센터,양천구,37.5461022,126.8716897,공공기관
이문동우체국,동대문구,37.5951619,127.0584153,공공기관
국민건강보험공단 강남북부지사,강남구,37.5283211,127.0326316,공공기관
국민연금 동대문중랑지사,동대문구,37.5756846,127.0244488,공공기관
영등포구 시설관리공단,영등포구,37.5058316,126.9221789,공공기관
상계5동주민센터,노원구,37.6629366,127.069359,공공기관
삼성동 주민센터,관악구,37.463011,126.9309884,공공기관
월계2동우체국,노원구,37.6284572,127.0559043,공공기관
성수2가1동주민센터,성동구,37.5393129,127.05097,공공기관
염리동주민센터,마포구,37.5470262,126.9456359,공공기관
세검정 우체국,종로구,37.6013393,126.9612511,공공기관
구의제2동주민센터,광진구,37.5472019,127.0899102,공공기관
효창동주민센터,용산구,37.5424211,126.9618156,공공기관
홍익지구대,마포구,37.5523247,126.9142598,공공기관
개포4동 주민센터,강남구,37.4788109,127.0516147,공공기관
사직동주민센터,종로구,37.5760163,126.9679914,공공기관
홍은1동주민센터,서대문구,37.5988191,126.9471227,공공기관
천호2 치안센터,강동구,37.54627,127.1238384,공공기관
상계2동치안센터,노원구,37.6587743,127.0685054,공공기관
오류1동주민센터,구로구,37.4970213,126.8451448,공공기관
중곡제1동주민센터,광진구,37.5605114,127.0800527,공공기관
남영동주민센터,용산구,37.5484147,126.9800638,공공기관
등촌1동주민센터,강서구,37.5547325,126.8589629,공공기관
화곡8동주민센터,강서구,37.532258,126.8485417,공공기관
미성동 주민센터,관악구,37.4761356,126.9155405,공공기관
신도림주민센터,구로구,37.5076903,126.8806945,공공기관
용답주민센터,성동구,37.5640312,127.0555532,공공기관
당산2동주민센터,영등포구,37.5346716,126.9020765,공공기관
한국 SGI용산문화회관,용산구,37.5375555,126.9693205,공공기관
명일동우체국,강동구,37.5503207,127.145546,공공기관
방배3동주민센터,서초구,37.4805119,126.9990241,공공기관
중계본동주민센터,노원구,37.6477615,127.0802729,공공기관
구산동주민센터,은평구,37.6117159,126.9103411,공공기관
상도2동주민센터,동작구,37.5054313,126.9422875,공공기관
상계3동우체국,노원구,37.6662586,127.077024,공공기관
방배4동주민센터,서초구,37.489574,126.9913453,공공기관
오류지구대,구로구,37.4984887,126.8601539,공공기관
마장동주민센터,성동구,37.5660018,127.0450678,공공기관
망원1동주민센터,마포구,37.5559049,126.9061524,공공기관
삼전동우체국,송파구,37.5022814,127.0947795,공공기관
둔촌2동 주민센터,강동구,37.5333052,127.1419351,공공기관
이문2동주민센터,동대문구,37.6033142,127.0651101,공공기관
곰달래지구대,강서구,37.5328704,126.863125,공공기관
목4동주민센터,양천구,37.5323636,126.8683316,공공기관
잠실6동주민센터,송파구,37.5170875,127.1005196,공공기관
망우3동주민센터,중랑구,37.5923316,127.0981378,공공기관
여의도동 주민센터,영등포구,37.5176416,126.9345971,공공기관
은마아파트 우체국,강남구,37.5027999,127.0590717,공공기관
도화동주민센터,마포구,37.537561,126.9502024,공공기관
하계1동우체국,노원구,37.6404044,127.0726541,공공기관
사당3동주민센터,동작구,37.4866485,126.9720274,공공기관
중계1동주민센터,노원구,37.6525069,127.0774571,공공기관
성산1동치안센터,마포구,37.5622309,126.9154619,공공기관
자양제1동주민센터,광진구,37.5344596,127.0823812,공공기관
상계2동주민센터,노원구,37.6587743,127.0685054,공공기관
연남동주민센터,마포구,37.5653102,126.9219723,공공기관
창신3동 주민센터,종로구,37.5778868,127.014797,공공기관
