"호선","역명","번호","설치장소"
"1호선","서울역","1","4번 외부출구 앞"
"1호선","서울역","2","2번 외부출구 측 E/V 앞"
"1호선","서울역","3","4번 외부출구 측 E/V 앞"
"1호선","서울역","4","대합실 지하1층 화장실 앞"
"1호선","시청","1","6번 외부출구 앞"
"1호선","시청","2","대합실 지하1층 화장실 앞"
"1호선","종각","1","3번 외부출구 측 E/V 앞"
"1호선","종각","2","대합실 지하1층 화장실 앞"
"1호선","종로3가","1","15번 외부출구"
"1호선","종로3가","2","대합실 지하1층 3.5호선 연결통로측"
"1호선","종로3가","3","승강장 지하2층 3.5호선 연결통로측"
"1호선","종로3가","4","대합실 F내부계단 휴식공간 옆"
"1호선","종로5가","1","대합실 지하1층 화장실 앞"
"1호선","종로5가","2","8번 외부출구 측 E/V 앞"
"1호선","동대문","1","6번 외부출구 측 E/V 앞"
"1호선","동대문","2","대합실 지하1층 6번출입구측 E/V 앞"
"1호선","동대문","3","대합실 지하1층 4호선 연결통로 앞"
"1호선","동대문","4","대합실 지하1층 화장실 앞"
"1호선","동묘앞","1","1번 외부출구 측 E/V 앞"
"1호선","동묘앞","2","3번 외부출구 측 E/V 앞"
"1호선","신설동","1","1234 외부출구 E/V 앞"
"1호선","신설동","2","대합실 지하1층 화장실 앞"
"1호선","제기동","1","1번 외부출구 측 E/V 앞"
"1호선","청량리","2","6번 외부출구 측 E/V 앞"
"1호선","청량리","1","대합실 지하2층 #33기둥 내부 E/V 앞"
"2호선","시청","1","9번 외부출구 측 E/V 앞"
"2호선","시청","2","대합실 지하2층 1호선 환승통로 측(2개)"
"2호선","시청","3","대합실 지하1층 종점 측 화장실 앞"
"2호선","을지로입구","1","1번 외부출구 측 E/V 앞"
"2호선","을지로입구","2","2번 외부출구 앞"
"2호선","을지로입구","3","5번 외부출구 앞"
"2호선","을지로3가","1","2번 외부출구 앞(추가)"
"2호선","을지로3가","2","11번 외부출구 앞(추가)"
"2호선","을지로3가","3","승강장 지하2층 내선 환승통로 측"
"2호선","을지로3가","4","승강장 지하2층 외선 환승통로 측"
"2호선","을지로4가","1","1번 외부출구 앞"
"2호선","을지로4가","2","10번 외부출구 앞"
"2호선","을지로4가","3","7~8번 외부출구 중간 측 E/V 앞"
"2호선","동대문","1","1번 외부출구 측 E/V 앞"
"2호선","역사문화공원","2","대합실 #1출구 앞(추가)"
"2호선","역사문화공원","3","대합실과 동대문별관 연결통로(추가)"
"2호선","신당","1","1번 외부출구 앞"
"2호선","신당","2","4번 외부출구 앞"
"2호선","신당","3","2번 외부출구 측 E/V 앞"
"2호선","신당","4","내선승강장 종점측 6호선 연결통로 앞(추가)"
"2호선","신당","5","외선승강장 종점측 6호선 연결통로 앞(추가)"
"2호선","상왕십리","1","2번 외부출구 측 E/V 앞"
"2호선","상왕십리","2","대합실 지하1층 화장실 앞"
"2호선","왕십리","1","대합실 지하1층 화장실 앞"
"2호선","왕십리","2","대합실 3번 외부출구 앞"
"2호선","왕십리","3","대합실 지하1층 43번 기둥앞"
"2호선","한양대","1","4번 외부출구 측 E/V 앞"
"2호선","한양대","2","승강장 내선 E/V앞"
"2호선","한양대","3","뚝섬측 주민통로 입구"
"2호선","한양대","4","왕십리측 주민통로 입구"
"2호선","뚝섬","1","3번 외부출구 측 E/V 앞"
"2호선","뚝섬","2","대합실 지상2층 화장실 앞"
"2호선","성수","1","1번 외부출구 측 E/V 앞"
"2호선","성수","2","4번 외부출구 측 E/V 앞"
"2호선","구의","1","2번 외부출구 측 E/V 앞"
"2호선","구의","2","대합실 지상2층 화장실 앞"
"2호선","강변","1","3번 외부출구 앞"
"2호선","강변","2","대합실 지상1층 시점측 E/V 앞"
"2호선","강변","3","대합실 지상1층 종점측"
"2호선","잠실나루","1","한강공원 측 E/V 앞"
"2호선","잠실","1","1번 외부출구 앞"
"2호선","잠실","2","외선승강장 #63 승차위치 E/V(추가)"
"2호선","잠실","3","6번 외부출구 E/V(추가)"
"2호선","잠실","4","외선승강장 E.F 내부계단 앞(추가)"
"2호선","신천","1","7번 외부출구 측 E/V 앞"
"2호선","신천","2","2번 외부출구 측 E/V앞"
"2호선","종합운동장","1","6번 외부출구 측 E/V 앞"
"2호선","종합운동장","2","대합실 지하1층 시점측 화장실 앞"
"2호선","종합운동장","3","대합실 지하1층 종점측 화장실 앞"
"2호선","종합운동장","4","승강장 지하2층 내선 E/V 앞"
"2호선","종합운동장","5","승강장 지하2층 외선 E/V 앞"
"2호선","삼성","1","대합실 지하1층 78출구 통로측"
"2호선","삼성","2","1번 외부출구 측 E/V 앞"
"2호선","삼성","3","8번 외부출구 측 E/V 앞"
"2호선","삼성","4","대합실 지하1층 화장실 앞"
"2호선","선릉","1","1번 외부출구 측 E/V 앞"
"2호선","선릉","2","5번 외부출구 측 E/V 앞"
"2호선","역삼","1","7번 외부출구"
"2호선","역삼","2","8번 외부출구"
"2호선","역삼","3","3번 외부출구 측 E/V 앞"
"2호선","역삼","4","4번 외부출구 측 E/V 앞"
"2호선","역삼","5","대합실 지하2층 화장실 앞"
"2호선","강남","1","1번 외부출구 측 E/V 앞"
"2호선","강남","2","6번 외부출구 측 E/V 앞"
"2호선","교대","1","5번 외부출구 측 E/V 앞"
"2호선","교대","2","대합실 지하1층 5출구 E/V 앞"
"2호선","서초","1","1번 외부출구 측 E/V 앞"
"2호선","서초","2","대합실 지하1층 화장실 앞"
"2호선","방배","1","3번 외부출구 측 E/V 앞"
"2호선","사당","1","6번 외부출구 앞"
"2호선","사당","2","8번 외부출구 앞"
"2호선","사당","3","14번 외부출구 측 E/V 앞"
"2호선","사당","4","대합실 지하1층 시점 측 화장실 앞"
"2호선","사당","5","대합실 지하2층 종점 측 화장실 앞"
"2호선","낙성대","1","6번 외부출구 측 E/V 앞"
"2호선","낙성대","2","대합실 지하1층 화장실 앞"
"2호선","서울대입구","1","6번 외부출구 측 E/V 앞"
"2호선","서울대입구","2","대합실 지하1층 56출구 통로측"
"2호선","서울대입구","3","대합실 지하1층 화장실 앞"
"2호선","봉천","1","4번 외부출구 측 E/V 앞"
"2호선","봉천","2","대합실 화장실 앞(추가)"
"2호선","신림","1","대합실 지하1층 7.8출구 통로측"
"2호선","신림","2","1번 외부출구 측 E/V 앞"
"2호선","신대방","1","1번 외부출구 측 E/V 앞"
"2호선","신대방","2","대합실 지상1층 외부출구 E/V 앞"
"2호선","구로디지털단지","1","1번 외부출구 측 E/V 앞"
"2호선","구로디지털단지","2","대합실 장애인 화장실 앞"
"2호선","대림","1","3번 외부출구 측 E/V 앞"
"2호선","대림","2","7번 외부출구 측 E/V 앞"
"2호선","대림","3","대합실 지상 1층 화장실 앞"
"2호선","신도림","1","대합실 지하1층 게이트내 화장실 앞"
"2호선","신도림","2","대합실 지하2층 게이트밖 화장실 앞"
"2호선","신도림","3","2번 외부출구 앞"
"2호선","문래","1","5번 외부출구 측 E/V 앞"
"2호선","영등포구청","1","2번 외부출구 측 E/V 앞"
"2호선","당산","1","4번 외부출구 측 E/V 앞"
"2호선","당산","2","대합실 지상1층 외선 종점측 E/V 앞"
"2호선","당산","3","대합실 지상1층 내선 종점측 E/V 앞"
"2호선","당산","4","대합실 지상 1층 화장실 앞"
"2호선","합정","1","3번 외부출구 E/V 앞"
"2호선","합정","2","대합실 지하1층 6호선 환승통로 앞"
"2호선","홍대입구","1","8번 외부출구 측 E/V 앞"
"2호선","신촌","1","4번 외부출구 측 E/V 앞"
"2호선","이대","1","6번 외부출구 측 E/V 앞"
"2호선","이대","2","대합실 지하1층 6번 통로 측"
"2호선","이대","3","대합실 지하1층 화장실 앞"
"2호선","아현","1","3번 외부출구 측 E/V 앞"
"2호선","아현","2","34번 외부출구 중앙계단 좌측"
"2호선","아현","3","3번 외부출구 계단 앞"
"2호선","아현","4","대합실 지하1층 3번 출구 측 E/V 앞"
"2호선","충정로","1","1번 외부출구 앞"
"2호선","충정로","2","5번 외부출구 측 E/V 앞"
"2호선","충정로","3","대합실 지하1층 12번 출구 측 계단옆"
"2호선","도림천","1","1번 외부출구 앞"
"2호선","신정네거리","1","2번 외부출구 측 E/V 앞"
"2호선","신설동","1","10번 외부출구"
"2호선","용두","1","4번 외부출구 측 E/V 앞"
"2호선","용두","2","4번 외부출구 측 E/V 앞"
"3호선","지축","1","1번 외부출구 앞"
"3호선","불광","1","4번 외부출구 앞"
"3호선","불광","2","1번 외부출구 측 E/V 앞"
"3호선","녹번","1","3번 외부출구 측 E/V 앞"
"3호선","홍제","1","4번 외부출구 측 E/V 앞"
"3호선","홍제","2","대합실 지하1층 화장실 앞"
"3호선","무악재","1","1번 외부출구 측 E/V 앞"
"3호선","무악재","2","대합실 지하2층 화장실 앞"
"3호선","독립문","1","3번 외부출구 앞"
"3호선","독립문","2","4번 외부출구 측 E/V 앞"
"3호선","경복궁","1","4번 외부출구 측 E/V 앞"
"3호선","안국","1","56번 외부출구 측 E/V 앞"
"3호선","종로3가","1","7번 외부출구 측 E/V 앞"
"3호선","종로3가","2","21번 외부출구 앞"
"3호선","을지로3가","1","10번 외부출구 측 E/V 앞"
"3호선","동대입구","1","6번 외부출구 측 E/V 앞"
"3호선","약수","1","3번 외부출구 측 E/V 앞"
"3호선","금호","1","2번 외부출구 측 E/V 앞"
"3호선","금호","2","화장실 앞"
"3호선","옥수","1","5번 외부출구 측 E/V 앞"
"3호선","압구정","1","3번 외부출구 측 E/V 앞"
"3호선","신사","1","1번 외부출구 측 E/V 앞"
"3호선","잠원","1","1번 외부출구 측 E/V 앞"
"3호선","고속터미널","1","2번 외부출구 앞"
"3호선","남부터미널","1","5번 외부출구 앞"
"3호선","남부터미널","2","5번 외부출구 측 E/V 앞"
"3호선","양재","1","8번 외부출구 앞"
"3호선","양재","2","4번 외부출구 측 E/V 앞"
"3호선","양재","3","7번 외부출구 측 E/V 앞"
"3호선","매봉","1","1번 외부출구 측 E/V 앞"
"3호선","대치","1","7번 외부출구 E/V 앞"
"3호선","대치","2","대합실 지하1층 34번 출구 측 통로"
"3호선","대치","3","대합실 지하1층 12번 출구 측 통로"
"3호선","대치","4","대합실 지하1층 78번 출구 측 통로"
"3호선","학여울","1","1번 외부출구 측 E/V 앞"
"3호선","대청","1","8번 외부출구 측 E/V 앞"
"3호선","일원","1","1번 외부출구 측 E/V 앞"
"3호선","수서","1","5번 외부출구 앞"
"3호선","수서","2","11번 외부출구 측 E/V 앞"
