"고유번호","시설명","담당구","주소","연락처","홈페이지","추천수","주출입구 접근로 여부","장애인 전용 주차구역 여부","주출입구 높이차이 제거 여부","장애인용 승강기 여부","장애인 화장실 여부","장애인용 객실 이용가능 여부","장애인용 관람석 이용가능 여부","장애인 매표소 여부","시각장애인 편의서비스 여부","청각장애인 편의서비스 여부","안내 서비스 여부","휠체어 대여 여부"
"720","신당동 우체국","중구","서울시 중구 다동길 11","02-2236-0606","","0","Y","N","Y","N","N","N","N","N","N","N","N","N"
"2747","개명초등학교","구로구","서울시 구로구 개봉로1다길 16-9","02-2684-5117","www.kaemyong.es.kr/","0","Y","Y","N","N","Y","N","N","N","N","N","N","N"
"2749","토성초등학교","송파구","서울시 송파구 풍성로20길 44","02-475-5036","www.stosung.es.kr","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"3376","숙명 여자 고등학교","강남구","서울시 강남구 남부순환로 2807","02-3462-5011","www.sookmyung.hs.kr","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3341","명일여자고등학교","강동구","서울시 강동구 명일로 350","02-481-8191","http://www.myungil.hs.kr/","0","N","Y","N","Y","N","N","N","N","N","N","N","N"
"3262","신림고등학교","관악구","서울시 관악구 문성로 119","070-8611-9000","http://www.sillim.hs.kr/","0","N","Y","Y","Y","Y","N","N","N","N","N","N","N"
"5465","성산2-1공영주차장","마포구","서울시 마포구 모래내로 31","02-308-2366","","0","Y","Y","Y","N","N","N","Y","N","N","N","N","N"
"4379","행복나무어린이집","구로구","서울시 구로구 새말로9길 40","02-865-0509","","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"3400","상명고등학교","노원구","서울시 노원구 덕릉로 553","02-971-6211","http://www.sangmyung.hs.kr/","0","Y","Y","N","N","Y","N","N","N","N","N","N","N"
"2723","신가초등학교","송파구","서울시 송파구 송이로 75","02-401-4677","www.sinka.es.kr","0","Y","Y","N","N","Y","N","N","N","N","N","N","N"
"2730","매원초등학교","성북구","서울시 성북구 북악산로  870","02-922-6052","www.maewon.es.kr","0","N","Y","Y","N","Y","N","N","N","N","N","N","N"
"4079","새싹어린이집","성동구","서울시 성동구 용답중앙길 43","02-2215-3787","","0","Y","Y","N","N","N","N","N","N","N","N","N","N"
"3358","금옥여자고등학교","양천구","서울시 양천구 신정로 213","02-2086-7507","www.geumok.hs.kr","0","Y","N","Y","N","Y","N","N","N","N","N","N","N"
"2632","서울월곡초등학교","성북구","서울시 성북구 장월로3길 42","02-943-6055","www.swg.es.kr/","0","Y","N","Y","N","N","N","N","N","N","N","N","N"
"4522","성심어린이집","강서구","서울시 강서구 화곡로13가길  5","02-2692-0900","","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"5515","동대문문화회관","동대문구","서울시 동대문구 답십리로  210-9","02-2241-9300","","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"5519","서울적십자병원(장례식장)","종로구","서울시 종로구 새문안로 9","02-2002-8444","","0","N","Y","Y","Y","Y","N","N","N","N","N","N","N"
"2959","전곡초등학교","동대문구","서울시 동대문구 전농로 172","02-2242-6548","www.jeongok.es.kr","0","Y","N","Y","Y","Y","N","N","N","N","N","N","N"
"3749","이튼학원","노원구","서울시 노원구 중계로 217","02-931-3303","","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3747","열강학원","양천구","서울시 양천구 신목로 34","02-2655-0603","","0","Y","N","Y","N","Y","N","N","N","N","N","N","N"
"3392","용화여자고등학교","노원구","서울시 노원구 동일로 1461","02-950-3522","www.yonghwa.hs.kr","0","Y","Y","N","Y","N","N","N","N","N","N","N","N"
"4743","용산구청","용산구","서울시 용산구 녹사평대로 150","02-2199-6114","http://www.yongsan.go.kr/","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"3403","휘경공업고등학교","동대문구","서울시 동대문구 겸재로 21","02-2216-3643","http://www.hgt.hs.kr/","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3407","누원고","도봉구","서울시 도봉구 마들로 849","02-3492-7594","http://www.noowon.hs.kr/","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3055","동양중학교","동작구","서울시 동작구 흑석로9길 94","02-814-9651","www.dongyang.ms.kr","0","Y","Y","Y","N","N","Y","N","N","N","N","N","N"
"3058","화계중학교","강북구","서울시 강북구 화계사길 63","02-986-3072","www.hwagye.ms.kr","0","Y","N","Y","N","N","N","N","N","N","N","N","N"
"3060","상계제일중학교","노원구","서울시 노원구 덕릉로86길 29-15","02-930-3543","www.sanggyejeil.mg.kr","0","Y","Y","Y","Y","N","N","N","N","N","N","N","N"
"2884","목원초등학교","양천구","서울시 양천구 목동중앙로 204","02-2643-5771","www.mokwon.ne.kr/","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"3495","용문 상담심리대학원","종로구","서울시 종로구 율곡로 154","02-763-7448","http://yongmoon.ac.kr/","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"2493","백상유치원","금천구","서울시 금천구 탑골로3길 50","02-806-5616","","0","N","Y","Y","N","N","N","N","N","N","N","N","N"
"5522","뉴타운장례식장","성북구","서울시 성북구 종암로 199","02-909-4444","","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"2779","세곡초등학교","구로구","서울시 구로구 고척로33길 34","02-2613-5276","www.segok.es.kr","0","Y","N","Y","N","Y","N","N","N","N","N","N","N"
"2514","경동유치원","성동구","서울시 성동구 금호로 100","02-2298-2277","www.kdchild.com","0","Y","N","Y","N","N","N","N","N","N","N","N","N"
"2528","우일유치원","강서구","서울시 강서구 곰달래로47길 88","02-2602-4026","","0","Y","Y","N","N","N","N","N","N","N","N","N","N"
"5330","SJ 테크노빌","금천구","서울시 금천구 벚꽃로  278","","","0","Y","Y","Y","N","Y","Y","N","N","N","N","N","N"
"4798","서대문구청","서대문구","서울시 서대문구 연희로 248","02-330-1114","http://www.seodaemun.seoul.kr/","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"5346","신한이노플렉스","금천구","서울시 금천구 가산디지털1로  149","","","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"4802","경찰청사","서대문구","서울시 서대문구 통일로  97","","","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"2951","영등포초등학교","영등포구","서울시 영등포구 경인로88길  10","02-2633-6544","www.ydp.es.kr/","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"2613","면북초등학교","중랑구","서울시 중랑구 용마공원로5길 32","02-433-3338","www.myeonbuk.es.kr/","0","Y","Y","N","Y","Y","N","N","N","N","N","N","N"
"3225","배명중고등학교","송파구","서울시 송파구 삼학사로 11","02-414-5820","www.bm.ms.kr/","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"3286","용산고등학교","용산구","서울시 용산구 두텁바위로 60","02-3706-6700","http://www.yongsan.hs.kr/","0","Y","Y","N","N","Y","N","N","N","N","N","N","N"
"3290","덕성여자 고등학교","종로구","서울시 종로구 율곡로3길 50","02-734-6871","http://www.duksung.hs.kr/","0","N","N","N","N","N","N","N","N","N","N","N","N"
"2718","한남초등학교","용산구","서울시 용산구 한남대로 112","02-749-2371","www.hannam.es.kr","0","Y","N","Y","N","Y","N","N","N","N","N","N","N"
"2454","한빛맹학교","강북구","서울시 강북구 삼양로73가길 47","02-989-9135","www.hanbit.sc.kr/","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"2451","교남학교","강서구","서울시 강서구 까치산로22길 38","02-2607-2456","www.kyonam.sc.kr/","0","Y","N","Y","Y","Y","N","N","N","N","N","N","N"
"2463","예일유치원","강서구","서울시 강서구 강서로47길 126","02-2667-6767","","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"2763","개화초등학교","강서구","서울시 강서구 양천로 11","02-2662-0492","www.gaehwa.es.kr","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"2839","서울홍은초등학교","서대문구","서울시 서대문구 세검정로  105","02-391-2196","www.hongeun.es.kr/","0","N","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3070","대신중학교(신관)","종로구","서울시 종로구 사직로 9","02-736-0317","www.dae-shin.ms.kr","0","Y","N","Y","Y","N","Y","N","N","N","N","N","N"
"2574","성동초등학교","광진구","서울시 광진구 자양로4길 63","02-447-2642","www.sungdong.es.kr","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"917","본앤본정형외과","강서구","서울시 강서구 공항대로43길 123","02-3663-9209","http://www.boneclinic.kr/","0","Y","N","Y","Y","N","N","N","N","N","N","N","N"
"2151","이대목동병원 병원동","양천구","서울시 양천구 안양천로 1071","02-2650-5114","www.eumc.ac.kr/mokdong/","0","Y","Y","Y","N","Y","N","N","N","N","N","N","N"
"2177","미즈메디병원","강서구","서울시 강서구 강서로47가길  19","02-1588-2701","www.mizmedi.com/wweb/main.asp","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3264","노원고등학교","노원구","서울시 노원구 노원로 586","02-937-0078","http://nowon.hs.kr/","0","Y","Y","N","Y","Y","N","N","N","N","N","N","N"
"2206","나누리병원","강서구","서울시 강서구 가로공원로  187","02-1688-9797","www.nanoori.co.kr/","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"5428","대림2동 공영주차장","영등포구","서울시 영등포구 디지털로37나길 21","","","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"4711","양천우체국","양천구","서울시 양천구 목동서로 117","02-2646-0014","http://www.koreapost.go.kr/se/158","0","Y","Y","Y","Y","N","N","N","N","N","N","N","N"
"1992","청량리교회","동대문구","서울시 동대문구 황물로 15","","","0","Y","Y","Y","N","N","N","N","N","N","N","N","N"
"3108","한성여자중학교","성북구","서울시 성북구 삼선교로16길  116","02-742-2542","http://www.hansunggm.net/","0","N","Y","Y","N","Y","N","N","N","N","N","N","N"
"3363","양천고등학교","양천구","서울시 양천구 신정로14길 13","02-2605-5997","http://www.yangcheoncschool.net/","0","Y","N","Y","N","Y","N","N","N","N","N","N","N"
"3368","현대고등학교","강남구","서울시 강남구 압구정로 127","02-546-6323","www.hyundai.hs.kr","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
"3754","정상어학원","송파구","서울시 송파구 양재대로71길 1-14","02-417-0880","","0","Y","Y","Y","Y","Y","N","N","N","N","N","N","N"
