"도서관 일련번호","도서관명","구 코드","구명","주소","전화번호","홈페이지 URL","운영시간","정기 휴관일","도서관 구분명","위도","경도"
"2413","BIBLIOTECA","0008","강남구","서울특별시 강남구 도산대로 25길 15-4 1층","","http://","월 화 수 목 금 토요일 : 10:00~17:001","일요일","작은도서관","37.5207695","127.0245651"
"1571","LH강남3단지작은도서관","0008","강남구","서울특별시 강남구 자곡로3길 22 ","02-459-8700","","월 수 금요일 : 13:00~17:00","화목요일 주말","작은도서관","37.46997231","127.0910208"
"1848","休+밤토리SH작은도서관","0008","강남구","서울특별시 강남구 밤고개로26길 50(율현동 강남한신휴플러스6단지)","02-2226-7942","http://cafe.naver.com/segok2love","화 수 목 금 일요일 : 14:00~18:00","매주 월요일 토요일","작은도서관","37.47054284","127.1137731"
"1935","강남구립못골도서관","0008","강남구","서울특별시 강남구 자곡로 116","02-459-5522","http://mglib.gangnam.go.kr","평일 : 09:00~18:00 주말 : 09:00~17:00","매주 화요일 및 법정 공휴일","공공도서관","37.47153836","127.096582"
"1066","강남역삼푸른솔도서관","0008","강남구","서울특별시 강남구 테헤란로8길 36. 4층","02-2051-1178","http://ysplib.gangnam.go.kr/","평일 : 09:00~18:00 주말 : 09:00~17:00","매주 화요일 및 법정 공휴일","공공도서관","37.4964968","127.0320274"
"1845","강남한신휴플러스8단지작은도서관","0008","강남구","서울특별시 강남구 밤고개로27길 20(율현동 강남한신휴플러스8단지) ","02-445-9831","","평일 : 16:00~18:00","토일요일 법정공휴일","작은도서관","37.46971323","127.1130164"
"1572","강남한양수자인작은씨앗도서관","0008","강남구","서울특별시 강남구 자곡로 260","","cafe.naver.com/sujainbook","평일 : 10:00~18:00","토일요일 법정공휴일","작은도서관","37.47586067","127.1134903"
"114","개포4동작은도서관","0008","강남구","서울특별시 강남구 개포로38길 12 개포4동주민센터 ","02-3423-7884","https://library.gangnam.go.kr/small","평일 : 09:00~17:30","토일요일 법정공휴일","작은도서관","37.47882622","127.0516625"
"3","국립어린이청소년도서관","0008","강남구","서울특별시 강남구 테헤란로7길 21","02-3413-4800","http://www.nlcy.go.kr/","평일 : 09:00~18:00 주말 : 09:00~18:00","매월 둘째넷째 월요일 일요일을 제외한 공휴일","국립도서관","37.50090187","127.0296764"
"1573","꿈꾸는작은도서관","0008","강남구","서울특별시 강남구 자곡로3길 21 ","02-445-0955","","평일 : 11:00~18:00 토:1200~17:00","일요일","작은도서관","37.47176041","127.0881053"
