"시설명","시도명","시군구명","시군구코드","소재지도로명주소","소재지지번주소","위도","경도","설치장소설명","평일운영시작시각","평일운영종료시각","토요일운영시작시각","토요일운영종료시각","공휴일운영시작시각","공휴일운영종료시각","동시사용가능대수","공기주입가능여부","휴대전화충전가능여부","관리기관명","관리기관전화번호","데이터기준일자","제공기관코드","작업일시"
"용산행복장애인자립생활센터","서울특별시","용산구","11170","서울특별시 용산구 원효로89길 31","","37.54074494","126.9673582","센터 1층","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","용산행복장애인자립생활센터","02-704-0420","2021-09-15","3020000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 경인로114가길 9","서울특별시 영등포구 영등포동1가 35","37.51770759","126.9151695","신길역 환승엘리베이터 앞","06:00","22:00","06:00","22:00","06:00","22:00","2","Y","Y","서울특별시 영등포구","02-2639-3553","2021-04-14","3180000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 도림로 137","서울특별시 영등포구 대림동 1050-17","37.4928304132","126.8969595492","대림역 b1층 화장실 옆","06:00","22:00","06:00","22:00","06:00","22:00","2","Y","Y","서울특별시 영등포구","02-6311-7441","2021-04-14","3180000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 경인로 846","서울특별시 영등포구 영등포동 618-496","37.51566803","126.907666","영등포역 기차역 인포메이션 옆","06:00","22:00","06:00","22:00","06:00","22:00","2","Y","Y","서울특별시 영등포구","02-1544-7788","2021-04-14","3180000","2022-02-14 14:37:28.0"
"삼각지역","서울특별시","용산구","11170","서울특별시 용산구 한강대로 180","","37.5344034","126.9733574","지하1층 나 대합실 옆","06:00","23:30","06:00","23:30","06:00","23:30","2","N","Y","삼각지역","02-6110-4281","2021-09-15","3020000","2022-02-14 14:37:28.0"
"숙대입구역","서울특별시","용산구","11170","서울특별시 용산구 한강대로 306","","37.54549626","126.9722388","지하1층 대합실 만남의장소","06:00","23:30","06:00","23:30","06:00","23:30","2","N","Y","숙대입구역","02-6110-4271","2021-09-15","3020000","2022-02-14 14:37:28.0"
"한벗장애인주간보호시설","서울특별시","용산구","11170","서울특별시 용산구 효창원로69길 24-3","","37.5427916","126.9579499","시설 2층","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","한벗장애인주간보호시설","02-713-5050","2021-09-15","3020000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 도신로27","서울특별시 영등포구 대림동 608-2","37.504318","126.8960774463","대림정보문화도서관 1층 로비","09:00","18:00","09:00","17:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-828-3702","2021-04-14","3180000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 문래로20길 49","서울특별시 영등포구 문래동3가 98","37.51680639","126.8908945524","문래정보문화도서관 1층 로비","09:00","18:00","09:00","17:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2629-8605","2021-04-14","3180000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 선유로 43가길 10-8","서울특별시 영등포구 양평동3가 88-1","37.533331","126.892916","선유정보문화도서관 1층 로비","09:00","18:00","09:00","17:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2163-0800","2021-04-14","3180000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 여의대로 24","서울특별시 영등포구 여의도동 28-1","37.52216363","126.9199165508","여의도디지털도서관 1층 로비","09:00","18:00","09:00","17:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2629-2222","2021-04-14","3180000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 버드나루로 22","서울특별시 영등포구 영등포동2가 94-379","37.5208582747","126.9129017429","영등포장애인복지관 1층 로비","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-3667-7979","2021-04-14","3180000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 도림로 482","서울특별시 영등포구 문래동3가 76-2","37.5168563355","126.8905583","영등포노인종합복지관 1층 로비","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2068-0075","2021-04-14","3180000","2022-02-14 14:37:28.0"
"영등포구","서울특별시","영등포구","11560","서울특별시 영등포구 당산로41가길 7","서울특별시 영등포구 당산동4가 80-5","37.5310115134","126.897349","당산2동주민센터 입구 안쪽","09:00","18:00","00:00","00:00","00:00","00:00","2","Y","Y","서울특별시 영등포구","02-2670-7233","2021-04-14","3180000","2022-02-14 14:37:28.0"
