시설명,담당구,주차가능면,주소,위도,경도,시설분류,세부분류,장애인 주차칸 여부
한국공항공사 주차장,강서구,6367,강서구 과해동 676-0 ,37.56239403,126.7988536,주차장,공영주차장,가능
15-가600구간(구),강동구,1,강동구 명일동 583-0,37.530428,127.123802,주차장,공영주차장,불가능
관악구 신림동 760-19 ,관악구,1,관악구 신림동 760-19 ,37.47707191,126.9142345,주차장,공영주차장,불가능
롯데백화점 김포공항점 주차장,강서구,3800,강서구 방화동 886-0 ,37.564119,126.803464,주차장,공영주차장,가능
공유) 노량진2동 나블럭(구),동작구,1,동작구 노량진동 47-2,37.512161,126.9389416,주차장,공영주차장,불가능
공유) 사당1동 가블럭(구),동작구,1,동작구 사당동 1001-37,37.48352948,126.9776632,주차장,공영주차장,불가능
공유) 사당1동 가블럭(구),동작구,1,동작구 사당동 1005-1,37.48348238,126.9797315,주차장,공영주차장,불가능
 고려대(본교),성북구,3791,성북구 안암동5가 1-2 ,37.58872218,127.0325682,주차장,공영주차장,가능
필주차장(남도파킹)(민영),서초구,3500,서초구 양재동 225-4,37.46019055,127.0384619,주차장,민영주차장,불가능
공유) 상도2동 170-27(구),동작구,1,동작구 상도동 170-13,37.50483139,126.9416512,주차장,공영주차장,불가능
롯데월드 주차장,송파구,3051,송파구 잠실동 40-1 ,37.51142084,127.0980453,주차장,공영주차장,가능
당산고가 밑 이륜차 전용주차장(구),영등포구,1,영등포구 당산동5가 1-2,37.53329412,126.901493,주차장,공영주차장,불가능
공유) 남영동 04구간(구),용산구,1,용산구 남영동 46-3,37.543262,126.97396,주차장,공영주차장,불가능
롯데월드타워몰 주차장,송파구,2969,송파구 신천동 29-0 ,37.513214,127.103274,주차장,공영주차장,가능
삼성서울병원,강남구,2850,강남구 일원동 50-0 ,37.4885718,127.0865305,주차장,공영주차장,가능
경희대학교,동대문구,2600,동대문구 이문동 1-3 ,37.59624022,127.054885,주차장,공영주차장,가능
디큐브시티,구로구,2447,구로구 신도림동 692-0 ,37.50860033,126.8889187,주차장,공영주차장,가능
파크원 주차장,영등포구,2433,영등포구 여의도동 22-0,37.52607331,126.9283145,주차장,공영주차장,가능
이태원 입구 관광버스 승하차 허용 구간(시),용산구,2,용산구 이태원동 56-4,37.53413639,126.9892919,주차장,공영주차장,불가능
김포공항 국내선 제1주차장,강서구,2370,강서구 공항동 1373-9000 ,37.560122,126.804257,주차장,공영주차장,가능
탑골공원 관광버스전용 주차장(시),종로구,2,종로구 종로2가 38-4,37.57126963,126.987766,주차장,공영주차장,불가능
한미빌딩옆(구),종로구,2,종로구 공평동 283-0,37.57185042,126.9844954,주차장,공영주차장,불가능
강변 테크노마트,광진구,2184,광진구 구의동 546-4 ,37.53566808,127.0958811,주차장,공영주차장,가능
코엑스 주차장,강남구,2123,강남구 삼성동 159-0 ,37.51243164,127.0588472,주차장,공영주차장,가능
남대문 시장 관광버스전용 주차장(시),중구,2,중구 남창동 51-4,37.55944157,126.9756159,주차장,공영주차장,불가능
여의도 IFC몰,영등포구,2046,영등포구 여의도동 23-0 ,37.52497241,126.9253232,주차장,공영주차장,가능
가락몰 주차장,송파구,2026,송파구 가락동 600-0 ,37.49348798,127.1115212,주차장,공영주차장,가능
타임스퀘어A Gate 주차장,영등포구,1832,영등포구 영등포동4가 442-0,37.5170823,126.9033584,주차장,공영주차장,가능
김포공항 국내선 제2주차장,강서구,1746,강서구 공항동 1373-9001 ,37.558348,126.807332,주차장,공영주차장,가능
공유) 동작도서관(16~19구간)(구),동작구,3,동작구 노량진동 329-3,37.506762,126.941142,주차장,공영주차장,불가능
서울대학교병원 고객 주차장,종로구,1595,종로구 연건동 28-21,37.57900667,126.999135,주차장,공영주차장,가능
공유) 장승배기로D(구),동작구,3,동작구 상도동 181-10,37.50307,126.939858,주차장,공영주차장,불가능
롯데백화점 청량리점 주차장,동대문구,1592,동대문구 전농동 588-1 ,37.581328,127.049055,주차장,공영주차장,가능
토정로 관광버스 주차허용 구간(시),마포구,3,마포구 합정동 5-12,37.54528799,126.9188302,주차장,공영주차장,불가능
갤러리아 포레아파트 주차장,성동구,1504,성동구 성수동1가 685-696,37.54578614,127.042492,주차장,공영주차장,가능
롯데백화점 건대시티점 주차장,광진구,1452,광진구 자양동 227-342 ,37.539134,127.071341,주차장,공영주차장,가능
천호역 공영주차장(시),강동구,1432,강동구 천호동 455-0,37.53849749,127.1251285,주차장,공영주차장,가능
지타워 주차장,구로구,1359,구로구 구로동 832-0 ,37.48016976,126.8952706,주차장,공영주차장,가능
종묘주차장 공영주차장(시),종로구,1317,종로구 훈정동 2-0,37.57150398,126.9949689,주차장,공영주차장,가능
소파로케이블카앞 관광버스전용 주차장(시),중구,3,중구 회현동1가 1-15,37.55553758,126.9838498,주차장,공영주차장,불가능
예술의전당 주차장,서초구,1306,서초구 서초동 725-1 ,37.47921206,127.0117179,주차장,공영주차장,가능
훈련원공원 앞 관광버스 전용 주차장(시),중구,3,중구 을지로5가 40-2,37.5668065,127.003961,주차장,공영주차장,불가능
현대산업지식센터,금천구,1262,금천구 독산동 291-1 ,37.46893342,126.8957292,주차장,공영주차장,가능
세종로 공영주차장(시),종로구,1260,종로구 세종로 80-1,37.57340269,126.9758843,주차장,공영주차장,가능
공유) 면목2동 10구간(59~61)(구),중랑구,3,중랑구 면목동 294-10,37.5885405,127.075907,주차장,공영주차장,불가능
서울월드컵경기장,마포구,1253,마포구 성산동 515-10 ,37.56763275,126.8972416,주차장,공영주차장,가능
국민대학교 종합복지관,성북구,1246,성북구 정릉동 861-1 ,37.61094046,126.9962372,주차장,공영주차장,가능
현대백화점 목동점,양천구,1219,양천구 목동 916-0 ,37.52685813,126.8750371,주차장,공영주차장,가능
신성시장길노상공영주차장(구),광진구,4,광진구 구의동 558-11,37.55470191,127.0937551,주차장,공영주차장,불가능
반포천복개주차장(민영),서초구,1207,서초구 반포동 118-3,37.50400888,127.0066148,주차장,민영주차장,불가능
영등포 롯데역사 주차장,영등포구,1167,영등포구 영등포동 618-496 ,37.51597645,126.9074961,주차장,공영주차장,가능
공유) 서울공고(110~114구간)(구),동작구,4,동작구 대방동 466-10,37.50041955,126.921523,주차장,공영주차장,불가능
홈플러스 금천점,금천구,1151,금천구 독산동 291-7 ,37.46890188,126.8969254,주차장,공영주차장,가능
포스코 센터 부설주차장,강남구,1149,강남구 대치동 892-0 ,37.50578398,127.0561773,주차장,공영주차장,가능
서초 마제스타시티,서초구,1148,서초구 서초동 1498-5 ,37.490654,127.005473,주차장,공영주차장,가능
사직로3 관광버스 주차허용 구간(시),종로구,4,종로구 사직동 240-0 (한국갤럽 앞 ~ 풍림스페이스본 버스정류장 전),37.57451943,126.9676161,주차장,공영주차장,불가능
DDP북측 마장로 관광버스전용 주차장(시),중구,4,중구 신당동 222-3,37.56836018,127.0104831,주차장,공영주차장,불가능
세종대로1 관광버스 승하차 허용 구간(시),중구,4,중구 태평로1가 60-22 (코리아나호텔 주차장 입구 ~ 시의회 앞),37.56722138,126.9768708,주차장,공영주차장,불가능
중앙일보사옆 관광버스전용 주차장(시),중구,4,중구 순화동 7-0,37.56103507,126.9713191,주차장,공영주차장,불가능
김포공항 화물청사 주차장,강서구,1137,강서구 공항동 1373-9002 ,37.554713,126.809034,주차장,공영주차장,가능
공유) 면목본동 22구간(구),중랑구,4,중랑구 면목동 1507-7,37.58575267,127.0838673,주차장,공영주차장,불가능
공유) 용마산로524 공영(구),중랑구,4,중랑구 망우동 466-9009,37.597816,127.100005,주차장,공영주차장,불가능
두산타워 주차장,중구,1127,중구 을지로6가 18-12,37.56881307,127.008775,주차장,공영주차장,가능
중구 서소문동 75-95 ,중구,1110,중구 서소문동 GS타임즈 유원빌딩 지하민영주차장,37.56266871,126.9740754,주차장,공영주차장,가능
이마트 가양점,강서구,1075,강서구 가양동 449-19 ,37.55797917,126.862287,주차장,공영주차장,가능
중화2동 66구간A(구),중랑구,4,중랑구 중화동 50-16,37.601369,127.0741148,주차장,공영주차장,불가능
롯데백화점,중구,1073,중구 소공동 1-0 ,37.56472646,126.980967,주차장,공영주차장,가능
언주로,강남구,5,언주로 871 ~ 도산대로 239,37.52183674,127.0335012,주차장,공영주차장,불가능
공유) 12-나1100구간(구),강동구,5,강동구 천호동 572-0,37.53950039,127.124511,주차장,공영주차장,불가능
(주)서부티엔디(민영),양천구,1050,양천구 신정동 1315-0,37.50948278,126.8393661,주차장,민영주차장,불가능
나인스에비뉴 부설주차장,구로구,1043,구로구 구로동 501-0 ,37.49988013,126.8840496,주차장,공영주차장,가능
성아빌딩 주차장,중랑구,1017,중랑구 망우동 489-28,37.59918718,127.0960734,주차장,공영주차장,가능
이마트월계점,노원구,1006,노원구 월계동 333-1,37.62745359,127.0620153,주차장,공영주차장,가능
