"주차장코드","주차장명","주소","주차장 종류","주차장 종류명","운영구분","운영구분명","전화번호","총 주자면","유무료구분","유무료구분명","야간무료개방여부","야간무료개방여부명","평일 운영 시작시각(HHMM)","평일 운영 종료시각(HHMM)","주말 운영 시작시각(HHMM)","주말 운영 종료시각(HHMM)","공휴일 운영 시작시각(HHMM)","공휴일 운영 종료시각(HHMM)","최종데이터 동기화 시간","토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명","월 정기권 금액","노상 주차장 관리그룹번호","기본 주차 요금","기본 주차 시간(분 단위)","추가 단위 요금","추가 단위 시간(분 단위)","버스 기본 주차 요금","버스 기본 주차 시간(분 단위)","버스 추가 단위 시간(분 단위)","버스 추가 단위 요금","일 최대 요금","주차장 위치 좌표 위도","주차장 위치 좌표 경도"
"1012254","마들스타디움(근린공원)(구)","노원구 상계동 770-2","NW","노외 주차장","1","시간제 주차장","02-2289-6735","177","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:36:13","N","무료","N","무료","100000","","150","5","150","5","0","0","0","0","11000","37.64391748","127.05856743"
"1013181","마장동(건물) 공영주차장(구)","성동구 마장동 463-2","NW","노외 주차장","1","시간제 주차장","02-2204-7970","54","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-02-15 13:58:06","N","무료","N","무료","50000","","50","5","50","5","0","0","0","0","","37.56993875","127.03514519"
"1025696","당산근린공원 공영(구)","영등포구 당산동3가 385-0","NW","노외 주차장","1","시간제 주차장","02-2677-1401","190","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2020-08-11 16:45:02","N","무료","N","무료","100000","","150","5","150","5","0","0","0","0","0","37.52552609","126.89579413"
"1025697","대림운동장(구)","영등포구 대림동 780-0","NW","노외 주차장","1","시간제 주차장","02-2677-1401","192","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2020-08-11 17:44:08","N","무료","N","무료","65000","","50","5","50","5","0","0","0","0","","37.49965667","126.89483844"
"1037932","구로디지털단지역 공영주차장(시)","구로구 구로동 810-3","NW","노외 주차장","1","시간제 주차장","02-2290-6034","93","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2021-10-06 17:59:24","N","무료","N","무료","140000","","260","5","260","5","0","0","0","0","0","37.48543179","126.90124331"
"1040225","논현로22길(시)","강남구 개포동 1266-0","NW","노외 주차장","1","시간제 주차장","02-2176-0907","97","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2020-07-08 18:08:02","N","무료","N","무료","120000","","200","5","200","5","0","0","0","0","","37.48150119","127.04781332"
"1041840","남산동 공영주차장(구)","중구 남산동2가 30-4","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2280-8368","49","Y","유료","N","야간 미개방","0000","2400","0000","0000","0000","0000","2021-05-26 13:36:41","N","무료","N","무료","240000","","250","5","250","5","0","0","0","0","0","37.55923691","126.98562404"
"1042410","논현초교 공영주차장(구)","강남구 논현동 168-0","NW","노외 주차장","1","시간제 주차장","02-2176-0943","192","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2020-07-08 11:14:48","N","무료","N","무료","180000","","300","5","300","5","0","0","0","0","","37.50822463","127.02626245"
"1051043","구파발역 공영주차장(시)","은평구 진관동 66-30","NW","노외 주차장","1","시간제 주차장","02-2290-6088","399","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2021-10-06 18:00:52","N","무료","N","무료","91000","","170","5","170","5","0","0","0","0","","37.63800702","126.91932176"
"1052741","마장축산물시장(평면) 공유주차장(구)","성동구 마장동 525-1","NW","노외 주차장","1","시간제 주차장","02-2204-7970","117","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-02-15 13:53:45","N","무료","N","무료","120000","","250","5","250","5","0","0","0","0","","37.571538","127.039926"
"1056834","동작주차공원(구)","동작구 동작동 326-0","NW","노외 주차장","1","시간제 주차장","","147","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:31:05","N","무료","N","무료","70000","","100","5","100","5","0","0","0","0","","37.50309257","126.97826859"
"1079122","길음역환승주차장(구)","성북구 하월곡동 104-112","NW","노외 주차장","1","시간제 주차장","02-6923-0023","147","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:37:28","N","무료","N","무료","120000","","150","5","150","5","0","0","0","0","10000","37.60423761","127.02581826"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57742784","127.04456566"
"1189711","동부청과 공영주차장(시)","동대문구 용두동 8-1","NS","노상 주차장","1","시간제 주차장","","1","Y","유료","N","야간 미개방","0800","2200","0800","2200","0800","2200","2021-10-08 14:37:12","N","무료","N","무료","","1123010200001","430","5","430","5","0","0","0","0","","37.57735487","127.04470175"
