시설명,담당구,주차가능면,주소,위도,경도,시설분류,세부분류
119주차장(민영),강남구,19,강남구 삼성동 149-0,37.51194707,127.05540895,주차장,민영주차장
8 Seconds주차장,강남구,7,강남구 신사동 535-12 ,37.5193602,127.02288875,주차장,공영주차장
A Tower 주차장,강남구,31,강남구 역삼동 822-1,37.49866878,127.02852692,주차장,공영주차장
C&H빌딩주차장,강남구,132,강남구 삼성동 154-8 ,37.50989576,127.05753702,주차장,공영주차장
CBA 주차장,강남구,65,강남구 신사동 612-1 ,37.526688,127.029865,주차장,공영주차장
CNNBiz강남교육센터 주차장,강남구,20,강남구 역삼동 619-16,37.50147266,127.02700333,주차장,공영주차장
DS 디에스 유료주차장(민영),강남구,20,강남구 신사동 662-12,37.52695056,127.03887118,주차장,민영주차장
ES타워 주차장,강남구,23,강남구 논현동 201-12,37.50518956,127.02572644,주차장,공영주차장
GE타워 부설주차장,강남구,102,강남구 청담동 71-3 ,37.52141593,127.05573337,주차장,공영주차장
GS타임즈 삼성동3(민영),강남구,8,강남구 삼성동 161-10,37.5141655,127.06303604,주차장,민영주차장
GS타임즈 삼성역 주차장(민영),강남구,21,강남구 대치동 995-28,37.50849093,127.06461835,주차장,민영주차장
GS타임즈 영동프라자 주차장,강남구,121,강남구 논현동 140-0,37.50994959,127.02369409,주차장,공영주차장
GS타임즈 헤리츠컨벤션 주차장,강남구,172,강남구 논현동 215-0,37.5132601,127.03147711,주차장,공영주차장
GS타임즈대치동주차장(민영),강남구,63,강남구 대치동 623 ,37.49361284,127.05972238,주차장,민영주차장
HK빌딩 주차장,강남구,34,강남구 논현동 199-2,37.50566321,127.02453198,주차장,공영주차장
JBK타워 주차장,강남구,38,강남구 삼성동 108-6,37.51504294,127.06315005,주차장,공영주차장
KT&G타워 주차장,강남구,713,강남구 대치동 1002-0,37.50657206,127.06537356,주차장,공영주차장
KT선릉타워,강남구,157,강남구 대치동 890-20 ,37.50527179,127.05289807,주차장,공영주차장
LIG강남타워 부설주차장,강남구,106,강남구 역삼동 649-11 ,37.49919933,127.03028101,주차장,공영주차장
LS빌딩 주차장,강남구,25,강남구 논현동 144-8,37.50908591,127.02347073,주차장,공영주차장
MG타워 주차장,강남구,30,강남구 신사동 512-9,37.51795989,127.02130904,주차장,공영주차장
NJ빌딩 부설주차장,강남구,137,강남구 신사동 602-0 ,37.52431586,127.02944087,주차장,공영주차장
PCA라이프타워 부설주차장,강남구,81,강남구 역삼동 706-0 ,37.50239421,127.04347923,주차장,공영주차장
SI타워 부설주차장,강남구,515,강남구 역삼동 679-4 ,37.50159648,127.03774863,주차장,공영주차장
SK허브블루 지하주차장,강남구,134,강남구 논현동 241-3,37.51669181,127.04061719,주차장,공영주차장
Y&K빌딩 주차장,강남구,9,강남구 논현동 111-20,37.51890758,127.04042574,주차장,공영주차장
YBM강남센터빌딩 부설주차장,강남구,99,강남구 역삼동 820-8 ,37.49922932,127.02759009,주차장,공영주차장
강남 24시 주차장(민영),강남구,16,강남구 역삼동 621-4,37.50210949,127.02833695,주차장,민영주차장
강남 8258빌딩 주차장,강남구,37,강남구 역삼동 825-8,37.49652258,127.02872249,주차장,공영주차장
강남N타워 주차장,강남구,197,강남구 역삼동 648-9 ,37.500036,127.03217,주차장,공영주차장
강남POBA타워,강남구,181,강남구 논현동 119-0 ,37.51744414,127.04066894,주차장,공영주차장
강남구 민자유치 논현1호주차장(민영),강남구,100,강남구 논현동 123-11,37.5107062,127.02461448,주차장,민영주차장
강남구 민자유치 논현2호주차장(민영),강남구,87,강남구 논현동 127-14,37.51223489,127.02856999,주차장,민영주차장
강남구 민자유치 논현3호 주차장(민영),강남구,214,강남구 논현동 117-7,37.5169618,127.03858159,주차장,민영주차장
강남구 민자유치 대치주차장(민영),강남구,84,강남구 대치동 962-23,37.50184688,127.05973429,주차장,민영주차장
강남구 민자유치 청담주차장(민영),강남구,84,강남구 청담동 49-3,37.52371281,127.0486412,주차장,민영주차장
강남구보건소 주차장,강남구,44,강남구 삼성동 8-0,37.51632925,127.04214957,주차장,공영주차장
강남구청,강남구,185,강남구 삼성동 16-1 ,37.5175696,127.04750582,주차장,공영주차장
강남대로150길(구),강남구,7,강남구 논현동 280-1,37.51572378,127.02027738,주차장,공영주차장
강남메이저의원,강남구,26,강남구 대치동 1021-4 ,37.49821726,127.05993813,주차장,공영주차장
강남세브란스병원,강남구,735,강남구 도곡동 146-92 ,37.49263467,127.04660892,주차장,공영주차장
강남센타빌딩,강남구,136,강남구 역삼동 825-13,37.49741337,127.02836525,주차장,공영주차장
강남역 센트럴푸르지오시티 주차장,강남구,398,강남구 역삼동 825-20,37.49773156,127.0293135,주차장,공영주차장
강남유료주차장(민영),강남구,20,강남구 개포동 1238-5,37.47836529,127.04604616,주차장,민영주차장
