구,역명,승강기 개수,에스컬레이터 개수,휠체어리프트 개수,전동휠체어 급속충전기 개수,경도,위도,
중구,서울역(1),4,5,1,0,126.972559,37.554648,
중구,시청(1),3,3,0,0,126.977108,37.564718,
종로구,종각,4,2,0,1,126.982923,37.570161,
종로구,종로3가(1),3,4,0,1,126.991806,37.571607,
종로구,종로5가,3,0,0,0,127.001849,37.570926,
종로구,동대문(1),3,1,0,0,127.009745,37.57142,
동대문구,신설동(1),5,0,6,0,127.025087,37.575297,
동대문구,제기동,3,2,0,1,127.034893,37.578103,
동대문구,청량리(1),1,4,2,0,127.045043,37.580113,
종로구,동묘앞(1),7,12,0,1,127.016429,37.572627,
중구,시청(2),2,4,0,0,126.977108,37.564718,
중구,을지로입구,4,6,0,0,126.982618,37.566014,
중구,을지로3가(2),2,0,0,0,126.99191,37.566295,
중구,을지로4가(2),3,2,0,0,126.998079,37.566941,
중구,동대문역사문화공원,3,2,0,1,127.007896,37.565138,
중구,신당,3,2,0,0,127.01782,37.565972,
성동구,상왕십리,3,8,0,1,127.029354,37.564354,
성동구,왕십리,2,8,0,0,127.037732,37.561533,
성동구,한양대,2,2,1,1,127.043655,37.555273,
광진구,뚝섬,4,8,0,1,127.047367,37.547184,
성동구,성수,4,8,0,1,127.055961,37.544581,
광진구,건대입구,2,2,0,1,127.07023,37.540693,
광진구,구의,2,6,0,0,127.085916,37.537077,
광진구,강변,2,0,0,0,127.094681,37.535095,
송파구,잠실나루,2,4,0,0,127.10379,37.520733,
송파구,잠실,4,6,1,0,127.102234,37.51395,
송파구,잠실새내,4,11,0,0,127.086162,37.511687,
송파구,종합운동장,3,5,0,0,127.073642,37.510997,
강남구,삼성,5,4,1,0,127.06316,37.508844,
강남구,선릉,3,2,0,1,127.049008,37.504503,
강남구,역삼,4,12,0,0,127.036456,37.500622,
강남구,강남,4,0,0,0,127.027926,37.497175,
서초역,교대,3,2,0,0,127.01408,37.493415,
서초역,서초,4,8,0,1,127.007917,37.491897,
서초역,방배,3,2,0,0,126.997596,37.481426,
동작구,사당,3,12,0,1,126.981685,37.47653,
관악구,낙성대,3,6,0,0,126.963693,37.47693,
관악구,서울대입구,3,8,0,0,126.952739,37.481247,
관악구,봉천,2,6,0,0,126.941892,37.482362,
관악구,신림,3,4,0,0,126.929715,37.484201,
관악구,신대방,3,8,0,0,126.913149,37.487462,
구로구,구로디지털단지,3,4,0,0,126.901401,37.485266,
구로구,대림,4,6,0,1,126.895801,37.49297,
구로구,신도림,4,9,0,1,126.891295,37.508725,
영등포구,문래,4,4,0,0,126.89476,37.517933,
영등포구,영등포구청,3,2,0,0,126.895951,37.52497,
영등포구,당산,3,1,0,0,126.902281,37.53438,
마포구,합정,4,4,0,0,126.913739,37.549463,
마포구,홍대입구,2,8,0,0,126.925381,37.557192,
서대문구,신촌,4,4,0,0,126.936893,37.555134,
마포구,이대,2,4,0,1,126.946013,37.556733,
마포구,아현,4,2,0,1,126.956141,37.557345,
서대문구,충정로,2,4,0,1,126.963672,37.559973,
성동구,용답,0,0,2,0,127.050899,37.561904,
성동구,신답,2,0,0,0,127.046481,37.57004,
동대문구,신설동,2,0,6,0,126.882768,37.514287,
구로구,도림천,2,0,0,0,126.882768,37.514287,
양천구,양천구청,3,2,0,0,126.865819,37.512398,
양천구,신정네거리,3,4,1,0,126.852912,37.520074,
동대문구,용두,4,12,0,0,127.038091,37.574028,
은평구,구파발,3,4,0,0,126.918821,37.636763,
은평구,연신내,1,4,0,0,126.921008,37.619001,
은평구,불광(3),3,2,0,1,126.929887,37.610469,
은평구,녹번,3,2,0,0,126.935756,37.600927,
서대문구,홍제,3,0,0,0,126.943736,37.589066,
서대문구,무악재,3,0,0,0,126.950291,37.582299,
종로구,독립문,2,6,0,1,126.957748,37.574571,
종로구,경복궁,2,10,0,0,126.97353,37.575762,
종로구,안국,2,10,0,1,126.985443,37.576477,
중구,종로3가,2,6,0,0,126.991806,37.571607,
중구,을지로3가,2,2,0,0,126.99191,37.566295,
중구,동대입구,3,4,0,0,127.005602,37.559052,
중구,약수,2,2,0,0,127.010655,37.55434,
성동구,금호,2,4,0,0,127.015872,37.548034,
성동구,옥수,3,2,0,1,127.017965,37.540685,
강남구,압구정,4,7,0,0,127.028461,37.527072,
강남구,신사,4,6,0,0,127.020114,37.516334,
서초구,잠원,3,0,0,1,127.01122,37.512759,
서초구,고속터미널,2,24,1,0,127.004943,37.50481,
서초구,교대(3),1,2,1,0,127.01408,37.493415,
서초구,남부터미널,3,2,0,0,127.016189,37.485013,
서초구,양재(3),4,2,0,0,127.034631,37.484147,
강남구,매봉,3,4,0,0,127.046769,37.486947,
강남구,도곡(3),0,8,0,0,127.055381,37.490858,
강남구,대치,2,6,0,0,127.063642,37.494612,
강남구,학여울,3,2,0,0,127.070594,37.496663,
강남구,대청,3,4,0,0,127.079532,37.493514,
강남구,일원,4,6,0,0,127.08439,37.483681,
강남구,수서(3),4,12,0,1,127.10188,37.487371,
송파구,가락시장(3),3,22,0,1,127.118234,37.492522,
송파구,경찰병원,4,20,0,0,127.12454,37.495918,
송파구,오금(3),3,15,0,0,127.128111,37.502162,
