기간	지하철	지하철(2)	지하철 역수	엘레베이터	엘레베이터	에스컬레이터	에스컬레이터	휠체어리프트	휠체어리프트	수평자동보도	수평자동보도
기간	지하철	지하철(2)	지하철 역수	설치역수	시설수	설치역수	시설수	설치역수	시설수	설치역수	시설수
2020	합계	합계	331	326	1,041	301	2,538	71	147	8	24
2020	서울교통공사	계	280	275	832	250	1,794	69	145	6	18
2020	서울교통공사	1호선	10	10	36	8	33	3	8	-	-
2020	서울교통공사	2호선	50	49	149	43	228	6	12	-	-
2020	서울교통공사	3호선	34	32	87	29	198	2	2	1	2
2020	서울교통공사	4호선	26	26	77	22	116	7	11	-	-
2020	서울교통공사	5호선	53	52	157	49	379	13	23	-	-
2020	서울교통공사	6호선	39	39	110	39	291	18	34	3	12
2020	서울교통공사	7호선	51	50	164	48	479	14	42	2	4
2020	서울교통공사	8호선	17	17	52	12	70	6	13	-	-
2020	서울시메트로9호선	계	38	38	157	38	670	2	2	2	6
2020	서울시메트로9호선	1단계	25	25	102	25	469	2	2	2	6
2020	서울시메트로9호선	23단계	13	13	55	13	201	-	-	-	-
2020	우이신설선	우이신설선	13	13	52	13	74	-	-	-	-
