"기관 명","송신 서버 번호","데이터 번호","모델명","주행상태","시동ON 시각","시동OFF 시각","운행시간","등록일시"
"서울시설공단","20","1","B03","7","702022-02-16_11:13:","252022-02-16_21:00:","940005","2022-02-16 21:02:00.0"
"서울시설공단","20","1","B03","8","902022-02-16_20:58:","162022-02-16_21:00:","000000","2022-02-16 21:02:00.0"
"서울시설공단","20","1","B03","9","302022-02-16_11:31:","312022-02-16_21:00:","060005","2022-02-16 21:01:00.0"
"서울시설공단","20","1","B03","6","402022-02-16_20:57:","162022-02-16_20:57:","240000","2022-02-16 20:59:00.0"
"서울시설공단","20","1","B03","4","802022-02-16_18:35:","242022-02-16_20:48:","170001","2022-02-16 20:49:00.0"
"서울시설공단","20","1","B03","6","002022-02-16_18:28:","302022-02-16_20:42:","990001","2022-02-16 20:43:00.0"
"서울시설공단","20","1","B03","4","602022-02-16_18:54:","512022-02-16_20:18:","520000","2022-02-16 20:19:00.0"
"서울시설공단","20","1","B03","5","502022-02-16_12:08:","722022-02-16_19:37:","130004","2022-02-16 19:38:00.0"
"서울시설공단","20","1","B03","0","902022-02-16_17:34:","912022-02-16_19:19:","910001","2022-02-16 19:20:00.0"
"서울시설공단","20","1","B03","5","502022-02-16_18:09:","292022-02-16_19:16:","420000","2022-02-16 19:17:00.0"
"서울시설공단","20","1","B03","4","702022-02-16_09:49:","872022-02-16_19:00:","650005","2022-02-16 19:01:00.0"
"서울시설공단","20","1","B03","6","502022-02-16_14:55:","192022-02-16_19:00:","830002","2022-02-16 19:01:00.0"
"서울시설공단","20","1","B03","1","102022-02-16_09:03:",".92022-02-16_19:00:","390005","2022-02-16 19:01:00.0"
"서울시설공단","20","1","B03","8","202022-02-16_18:41:","512022-02-16_18:42:","160000","2022-02-16 18:43:00.0"
"서울시설공단","20","1","B03","3","902022-02-16_11:40:","242022-02-16_18:42:","500004","2022-02-16 18:43:00.0"
"서울시설공단","20","1","B03","4","602022-02-16_18:34:","502022-02-16_18:36:","750000","2022-02-16 18:38:00.0"
"서울시설공단","20","1","B03","1","602022-02-16_13:53:","732022-02-16_18:15:","820002","2022-02-16 18:16:00.0"
"서울시설공단","20","1","B03","5","202022-02-16_15:05:","972022-02-16_18:10:","030001","2022-02-16 18:11:00.0"
"서울시설공단","20","1","B03","8","802022-02-16_18:03:","502022-02-16_18:04:","000000","2022-02-16 18:05:00.0"
"서울시설공단","20","1","B03","9","702022-02-16_12:09:","162022-02-16_18:03:","510003","2022-02-16 18:04:00.0"
"서울시설공단","20","1","B03","8","702022-02-16_17:46:","292022-02-16_17:46:","170000","2022-02-16 17:48:00.0"
"서울시설공단","20","1","B03","5","002022-02-16_15:50:","632022-02-16_17:31:","500001","2022-02-16 17:32:00.0"
"서울시설공단","20","1","B03","4","002022-02-16_17:06:",".52022-02-16_17:12:","000000","2022-02-16 17:13:00.0"
"서울시설공단","20","1","B03","8","302022-02-16_17:04:",".52022-02-16_17:06:","000000","2022-02-16 17:07:00.0"
"서울시설공단","20","1","B03","4","902022-02-16_14:07:",".32022-02-16_17:00:","510001","2022-02-16 17:01:00.0"
"서울시설공단","20","1","B03","0","802022-02-16_16:30:",".52022-02-16_16:33:","000000","2022-02-16 16:34:00.0"
"서울시설공단","20","1","B03","1","002022-02-16_16:29:",".52022-02-16_16:29:","000000","2022-02-16 16:31:00.0"
"서울시설공단","20","1","B03","1","102022-02-16_16:20:",".52022-02-16_16:21:","000000","2022-02-16 16:22:00.0"
"서울시설공단","20","1","B03","8","402022-02-16_14:12:","012022-02-16_16:11:","580001","2022-02-16 16:13:00.0"
"서울시설공단","20","1","B03","8","802022-02-16_15:32:","012022-02-16_15:38:","790000","2022-02-16 16:04:00.0"
"서울시설공단","20","1","B03","3","802022-02-16_14:31:","472022-02-16_16:00:","510000","2022-02-16 16:01:00.0"
"서울시설공단","20","1","B03","6","002022-02-16_15:31:","582022-02-16_15:49:","040000","2022-02-16 16:01:00.0"
"서울시설공단","20","1","B03","7","502022-02-16_12:56:","032022-02-16_16:00:","630001","2022-02-16 16:01:00.0"
