,고유번호,시설명,담당구,주소,연락처,홈페이지,추천수,주출입구 접근로 여부,장애인 전용 주차구역 여부,주출입구 높이차이 제거 여부,장애인용 승강기 여부,장애인 화장실 여부,장애인용 객실 이용가능 여부,장애인용 관람석 이용가능 여부,장애인 매표소 여부,시각장애인 편의서비스 여부,청각장애인 편의서비스 여부,안내 서비스 여부,휠체어 대여 여부,위도,경도
0,720,신당동 우체국,중구,서울시 중구 다동길 11,02-2236-0606,,0,Y,N,Y,N,N,N,N,N,N,N,N,N,37.5679725,126.9799824
1,2747,개명초등학교,구로구,서울시 구로구 개봉로1다길 16-9,02-2684-5117,www.kaemyong.es.kr/,0,Y,Y,N,N,Y,N,N,N,N,N,N,N,37.4828583,126.8505447
2,2749,토성초등학교,송파구,서울시 송파구 풍성로20길 44,02-475-5036,www.stosung.es.kr,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.5316979,127.1155695
3,3376,숙명 여자 고등학교,강남구,서울시 강남구 남부순환로 2807,02-3462-5011,www.sookmyung.hs.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,37.4907295,127.0533366
4,3341,명일여자고등학교,강동구,서울시 강동구 명일로 350,02-481-8191,http://www.myungil.hs.kr/,0,N,Y,N,Y,N,N,N,N,N,N,N,N,37.549855,127.1500544
5,3262,신림고등학교,관악구,서울시 관악구 문성로 119,070-8611-9000,http://www.sillim.hs.kr/,0,N,Y,Y,Y,Y,N,N,N,N,N,N,N,37.4786338,126.9173643
6,5465,성산2-1공영주차장,마포구,서울시 마포구 모래내로 31,02-308-2366,,0,Y,Y,Y,N,N,N,Y,N,N,N,N,N,37.5648069,126.9066725
7,4379,행복나무어린이집,구로구,서울시 구로구 새말로9길 40,02-865-0509,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N,37.5042802,126.8864445
8,3400,상명고등학교,노원구,서울시 노원구 덕릉로 553,02-971-6211,http://www.sangmyung.hs.kr/,0,Y,Y,N,N,Y,N,N,N,N,N,N,N,37.6494211,127.0682006
9,2723,신가초등학교,송파구,서울시 송파구 송이로 75,02-401-4677,www.sinka.es.kr,0,Y,Y,N,N,Y,N,N,N,N,N,N,N,37.5003769,127.1198579
